




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (150)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
response to mechanical stimulus (GO:0009612)	220	0	1.60	-	 < 0.01	4.14E-01	1.00E00
intermediate mesodermal cell differentiation (GO:0048392)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intermediate mesoderm formation (GO:0048391)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intermediate mesoderm morphogenesis (GO:0048390)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to symbiotic bacterium (GO:0009609)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
extracellular matrix constituent secretion (GO:0070278)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
response to symbiont (GO:0009608)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte adhesion to arterial endothelial cell (GO:1904999)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte adhesion to arterial endothelial cell (GO:1904998)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte adhesion to arterial endothelial cell (GO:1904997)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte adhesion to vascular endothelial cell (GO:1904996)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
ubiquinone-6 biosynthetic process (GO:1901006)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte adhesion to vascular endothelial cell (GO:1904995)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte adhesion to vascular endothelial cell (GO:1904994)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
ubiquinone-6 metabolic process (GO:1901004)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of fermentation (GO:1901003)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway (GO:1904992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway (GO:1904990)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of response to salt stress (GO:1901000)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
intermediate mesoderm development (GO:0048389)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
endosomal lumen acidification (GO:0048388)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of defense response to virus by host (GO:0050691)	44	0	.32	-	 < 0.01	1.00E00	1.00E00
negative regulation of retinoic acid receptor signaling pathway (GO:0048387)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of retinoic acid receptor signaling pathway (GO:0048386)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of retinoic acid receptor signaling pathway (GO:0048385)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
pyroptosis (GO:0070269)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
oncosis (GO:0070267)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
necroptotic process (GO:0070266)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
necrotic cell death (GO:0070265)	33	0	.24	-	 < 0.01	1.00E00	1.00E00
negative regulation of quinolinate biosynthetic process (GO:1904985)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-serine dephosphorylation (GO:0070262)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of quinolinate biosynthetic process (GO:1904984)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine import into mitochondrion (GO:1904983)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of defense response to virus by host (GO:0050689)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of endosome organization (GO:1904980)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of defense response to virus (GO:0050688)	71	0	.52	-	 < 0.01	1.00E00	1.00E00
negative regulation of defense response to virus (GO:0050687)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of mRNA processing (GO:0050685)	32	0	.23	-	 < 0.01	1.00E00	1.00E00
regulation of lateral mesodermal cell fate specification (GO:0048378)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelial cell proliferation (GO:0050680)	129	0	.94	-	 < 0.01	1.00E00	1.00E00
lateral mesodermal cell differentiation (GO:0048371)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lateral mesoderm formation (GO:0048370)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mucus secretion (GO:0070257)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of endosome organization (GO:1904979)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of mucus secretion (GO:0070256)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of endosome organization (GO:1904978)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of mucus secretion (GO:0070255)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
lymphatic endothelial cell migration (GO:1904977)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mucus secretion (GO:0070254)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to bleomycin (GO:1904976)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
somatostatin secretion (GO:0070253)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to bleomycin (GO:1904975)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
actin-mediated cell contraction (GO:0070252)	89	0	.65	-	 < 0.01	1.00E00	1.00E00
positive regulation of viral translation (GO:1904973)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of viral translation (GO:1904971)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of epithelial cell proliferation (GO:0050679)	194	0	1.41	-	 < 0.01	4.09E-01	1.00E00
brush border assembly (GO:1904970)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of urothelial cell proliferation (GO:0050677)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of urothelial cell proliferation (GO:0050675)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
urothelial cell proliferation (GO:0050674)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
epithelial cell proliferation (GO:0050673)	90	0	.66	-	 < 0.01	1.00E00	1.00E00
lateral mesoderm morphogenesis (GO:0048369)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
lateral mesoderm development (GO:0048368)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidyl-lysine crotonylation (GO:0120094)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of natural killer cell apoptotic process (GO:0070247)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of peptidyl-lysine crotonylation (GO:0120093)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of thymocyte apoptotic process (GO:0070245)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of thymocyte apoptotic process (GO:0070244)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of thymocyte apoptotic process (GO:0070243)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
thymocyte apoptotic process (GO:0070242)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of activated T cell autonomous cell death (GO:0070241)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytochrome-c oxidase activity (GO:1904960)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of homocysteine metabolic process (GO:0050668)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
homocysteine metabolic process (GO:0050667)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of homocysteine metabolic process (GO:0050666)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide biosynthetic process (GO:0050665)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
paraxial mesoderm structural organization (GO:0048352)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pre-replicative complex assembly (GO:0036388)	66	0	.48	-	 < 0.01	1.00E00	1.00E00
regulation of activated T cell autonomous cell death (GO:0070239)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cytochrome-c oxidase activity (GO:1904959)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of activation-induced cell death of T cells (GO:0070236)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of midbrain dopaminergic neuron differentiation (GO:1904958)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of activation-induced cell death of T cells (GO:0070235)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell apoptotic process (GO:0070234)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of midbrain dopaminergic neuron differentiation (GO:1904956)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell apoptotic process (GO:0070233)	20	0	.15	-	 < 0.01	1.00E00	1.00E00
planar cell polarity pathway involved in midbrain dopaminergic neuron differentiation (GO:1904955)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of T cell apoptotic process (GO:0070232)	36	0	.26	-	 < 0.01	1.00E00	1.00E00
canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904954)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
T cell apoptotic process (GO:0070231)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904953)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of lymphocyte apoptotic process (GO:0070230)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of establishment of protein localization (GO:1904950)	122	0	.89	-	 < 0.01	1.00E00	1.00E00
dermatan sulfate proteoglycan metabolic process (GO:0050655)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	44	0	.32	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0050653)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
dermatan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0050652)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dermatan sulfate proteoglycan biosynthetic process (GO:0050651)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	30	0	.22	-	 < 0.01	1.00E00	1.00E00
paraxial mesodermal cell fate commitment (GO:0048343)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
paraxial mesodermal cell differentiation (GO:0048342)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
paraxial mesoderm formation (GO:0048341)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
microtubule polymerization based movement (GO:0099098)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
paraxial mesoderm morphogenesis (GO:0048340)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
cell adhesion involved in sprouting angiogenesis (GO:0120078)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
calcitriol biosynthetic process from calciol (GO:0036378)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
angiogenic sprout fusion (GO:0120077)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium ion export across plasma membrane (GO:0036376)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of lymphocyte apoptotic process (GO:0070229)	30	0	.22	-	 < 0.01	1.00E00	1.00E00
calcium export from the mitochondrion (GO:0099093)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of lymphocyte apoptotic process (GO:0070228)	55	0	.40	-	 < 0.01	1.00E00	1.00E00
lymphocyte apoptotic process (GO:0070227)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
positive regulation of pyloric antrum smooth muscle contraction (GO:0120072)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
midbrain dopaminergic neuron differentiation (GO:1904948)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
opsin transport (GO:0036372)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of pyloric antrum smooth muscle contraction (GO:0120071)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
folate import into mitochondrion (GO:1904947)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to T-tubule (GO:0036371)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfide oxidation, using sulfide:quinone oxidoreductase (GO:0070221)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
paraxial mesoderm development (GO:0048339)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
mesoderm structural organization (GO:0048338)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mesodermal cell fate specification (GO:0048337)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mesodermal cell differentiation (GO:0048333)	26	0	.19	-	 < 0.01	1.00E00	1.00E00
mesoderm morphogenesis (GO:0048332)	69	0	.50	-	 < 0.01	1.00E00	1.00E00
axonal transport of messenger ribonucleoprotein complex (GO:0099088)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anterograde axonal transport of messenger ribonucleoprotein complex (GO:0099087)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of stomach fundus smooth muscle contraction (GO:0120069)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor catabolic process (GO:0036369)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of stomach fundus smooth muscle contraction (GO:0120068)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
light adaption (GO:0036367)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization organization (GO:0099084)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta1 activation (GO:0036364)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta activation (GO:0036363)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
planar cell polarity pathway involved in axon guidance (GO:1904938)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of gastric emptying (GO:0120061)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of gastric emptying (GO:0120060)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
interneuron migration (GO:1904936)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
protein auto-ADP-ribosylation (GO:0070213)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell proliferation in midbrain (GO:1904935)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein poly-ADP-ribosylation (GO:0070212)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell proliferation in midbrain (GO:1904934)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell proliferation in midbrain (GO:1904933)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
axial mesodermal cell fate specification (GO:0048327)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
axial mesodermal cell fate commitment (GO:0048322)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
axial mesodermal cell differentiation (GO:0048321)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
axial mesoderm formation (GO:0048320)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
renal potassium excretion (GO:0036359)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of small intestinal transit (GO:0120058)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrion-derived vesicle mediated transport (GO:0099075)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of small intestinal transit (GO:0120057)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrion to lysosome transport (GO:0099074)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
protein heterotrimerization (GO:0070208)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H2A-K119 monoubiquitination (GO:0036353)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H2A-K15 ubiquitination (GO:0036352)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H2A-K13 ubiquitination (GO:0036351)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of protein localization to telomere (GO:0070203)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904925)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of protein localization to chromosome (GO:0070202)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitophagy in response to mitochondrial depolarization (GO:1904924)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904923)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to telomere (GO:0070200)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
axial mesoderm morphogenesis (GO:0048319)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Golgi inheritance (GO:0048313)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
intracellular distribution of mitochondria (GO:0048312)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrion distribution (GO:0048311)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
postsynapse assembly (GO:0099068)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
snRNA (adenine-N6)-methylation (GO:0120049)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
stereocilium maintenance (GO:0120045)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
platelet maturation (GO:0036345)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
platelet morphogenesis (GO:0036344)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage proliferation (GO:0120042)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage proliferation (GO:0120041)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage proliferation (GO:0120040)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of establishment of protein-containing complex localization to telomere (GO:1904914)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of protein-containing complex localization to telomere (GO:1904913)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of establishment of RNA localization to telomere (GO:1904911)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of RNA localization to telomere (GO:1904910)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
organelle inheritance (GO:0048308)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of isotype switching to IgG isotypes (GO:0048304)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of isotype switching to IgG isotypes (GO:0048302)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
lymphocyte adhesion to endothelial cell of high endothelial venule (GO:0036339)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Fas signaling pathway (GO:0036337)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
presynapse assembly (GO:0099054)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
dendritic cell migration (GO:0036336)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
intestinal stem cell homeostasis (GO:0036335)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
hepatocyte homeostasis (GO:0036333)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vesicle scission (GO:0099050)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of maintenance of mitotic sister chromatid cohesion, telomeric (GO:1904908)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of maintenance of mitotic sister chromatid cohesion, telomeric (GO:1904907)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
avascular cornea development in camera-type eye (GO:0036331)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904906)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904905)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904904)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
ESCRT III complex assembly (GO:1904902)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of purine nucleotide metabolic process (GO:1900544)	47	0	.34	-	 < 0.01	1.00E00	1.00E00
negative regulation of purine nucleotide metabolic process (GO:1900543)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of purine nucleotide metabolic process (GO:1900542)	120	0	.87	-	 < 0.01	1.00E00	1.00E00
clearance of foreign intracellular nucleic acids (GO:0099046)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vesicle tethering to endoplasmic reticulum (GO:0099044)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor-3 signaling pathway (GO:0036325)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor-2 signaling pathway (GO:0036324)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
vesicle tethering to Golgi (GO:0099041)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor-1 signaling pathway (GO:0036323)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ceramide translocation (GO:0099040)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
ghrelin secretion (GO:0036321)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
palmitic acid biosynthetic process (GO:1900535)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
palmitic acid metabolic process (GO:1900533)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
sphingolipid translocation (GO:0099039)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
SREBP-SCAP complex retention in endoplasmic reticulum (GO:0036316)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to sterol (GO:0036315)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
response to sterol (GO:0036314)	34	0	.25	-	 < 0.01	1.00E00	1.00E00
intermembrane sphingolipid transfer (GO:0120012)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intermembrane lipid transfer (GO:0120009)	48	0	.35	-	 < 0.01	1.00E00	1.00E00
protein localization to M-band (GO:0036309)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma membrane invagination (GO:0099024)	141	0	1.03	-	 < 0.01	6.30E-01	1.00E00
embryonic heart tube elongation (GO:0036306)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ameloblast differentiation (GO:0036305)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vesicle tethering (GO:0099022)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
umbilical cord morphogenesis (GO:0036304)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
lymph vessel morphogenesis (GO:0036303)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
atrioventricular canal development (GO:0036302)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
mRNA 5'-splice site recognition (GO:0000395)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
spliceosomal conformational changes to generate catalytic conformation (GO:0000393)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle exocytosis (GO:0099011)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
modification of postsynaptic structure (GO:0099010)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
spliceosomal complex disassembly (GO:0000390)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
modulation by symbiont of host autophagy (GO:0075071)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
mRNA 3'-splice site recognition (GO:0000389)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) (GO:0000388)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
calmodulin dependent kinase signaling pathway (GO:0099004)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
alternative mRNA splicing, via spliceosome (GO:0000380)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
tRNA-type intron splice site recognition and cleavage (GO:0000379)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA exon ligation (GO:0000378)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
parathyroid hormone secretion (GO:0035898)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation by symbiont of host autophagy (GO:0075044)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
cis assembly of pre-catalytic spliceosome (GO:0000354)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
generation of catalytic spliceosome for second transesterification step (GO:0000350)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein heterodimerization activity (GO:0043497)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein homodimerization activity (GO:0043496)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
vascular associated smooth muscle cell differentiation (GO:0035886)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
enteroendocrine cell differentiation (GO:0035883)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
protein kinase B signaling (GO:0043491)	38	0	.28	-	 < 0.01	1.00E00	1.00E00
malate-aspartate shuttle (GO:0043490)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
amacrine cell differentiation (GO:0035881)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
embryonic nail plate morphogenesis (GO:0035880)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
generation of catalytic spliceosome for first transesterification step (GO:0000349)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to flavonoid (GO:1905396)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to flavonoid (GO:1905395)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
learned vocalization behavior or vocal learning (GO:0098598)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA stabilization (GO:0043489)	62	0	.45	-	 < 0.01	1.00E00	1.00E00
observational learning (GO:0098597)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
plasma membrane lactate transport (GO:0035879)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
imitative learning (GO:0098596)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of helicase activity (GO:0051097)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
nail development (GO:0035878)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of helicase activity (GO:0051096)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
histone exchange (GO:0043486)	46	0	.34	-	 < 0.01	1.00E00	1.00E00
regulation of helicase activity (GO:0051095)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
endosome to pigment granule transport (GO:0043485)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular response to copper ion starvation (GO:0035874)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular pigment accumulation (GO:0043482)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
lactate transmembrane transport (GO:0035873)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway (GO:0035872)	30	0	.22	-	 < 0.01	1.00E00	1.00E00
protein K11-linked deubiquitination (GO:0035871)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to presynapse (GO:1905386)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
